"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","14","5","0","0","12","3.4","0.13","0","12","0","0"
"3","14","6","230","28","14","3.7","0.13","56.094","14.869","298.296","248.091"
"3","14","7","623","70","16","3.6","0.13","299.482","21.463","2486.073","2358.346"
"3","14","8","779","93","20","2.7","0.13","553.503","31.865","4689.027","4483.241"
"3","14","9","857","107","23","1.8","0.13","770.782","42.605","6198.297","5939.031"
"3","14","10","907","111","24","1.4","0.13","925.585","49.665","7171.219","6877.478"
"3","14","11","919","118","25","1.6","0.13","1005.955","51.64","7692.911","7380.685"
"3","14","12","913","122","25","2","0.13","1006.556","49.497","7765.046","7450.264"
"3","14","13","914","108","24","2.4","0.13","934.763","45.065","7378.234","7077.158"
"3","14","14","865","104","23","2.5","0.13","783.047","40.352","6350.754","6086.086"
"3","14","15","780","94","22","2.3","0.13","566.26","35.062","4734.002","4526.622"
"3","14","16","644","70","20","1.7","0.13","317.726","28.188","2594.435","2462.868"
"3","14","17","297","32","17","1.2","0.13","73.449","18.911","431.369","376.449"
"3","14","18","0","0","16","1.1","0.13","0","16","0","0"
"3","14","19","0","0","15","1.1","0.13","0","15","0","0"
"3","14","20","0","0","15","1.2","0.13","0","15","0","0"
"3","14","21","0","0","14","1.3","0.13","0","14","0","0"
"3","14","22","0","0","14","1.3","0.13","0","14","0","0"
"3","14","23","0","0","13","1.3","0.13","0","13","0","0"
"3","15","0","0","0","13","1.4","0.13","0","13","0","0"
"3","15","1","0","0","12","1.5","0.13","0","12","0","0"
"3","15","2","0","0","12","1.6","0.13","0","12","0","0"
"3","15","3","0","0","12","1.6","0.13","0","12","0","0"
"3","15","4","0","0","12","1.5","0.13","0","12","0","0"
"3","15","5","0","0","12","1.5","0.13","0","12","0","0"
"3","15","6","0","11","14","2","0.13","10.155","14.237","66.815","24.811"
"3","15","7","0","43","16","2.4","0.13","39.789","16.898","323.625","272.522"
"3","15","8","31","188","19","2","0.13","201.748","23.912","1689.321","1589.826"
"3","15","9","872","101","22","1.5","0.13","777.789","43.119","6240.942","5980.165"
"3","15","10","919","105","23","0.8","0.13","931.816","52.981","7118.273","6826.409"
"3","15","11","934","111","24","0.7","0.13","1014.562","57.509","7565.403","7257.695"
"3","15","12","929","113","24","1.4","0.13","1013.755","52.082","7735.565","7421.827"
"3","15","13","897","117","23","2.3","0.13","930.216","44.36","7360.371","7059.928"
"3","15","14","853","110","22","2.9","0.13","781.009","38.12","6388.125","6122.132"
"3","15","15","779","96","21","3","0.13","568.231","32.562","4796.212","4586.628"
"3","15","16","657","69","18","2.5","0.13","321.756","25.073","2660.948","2527.024"
"3","15","17","302","33","16","1.6","0.13","75.051","17.789","448.277","392.757"
"3","15","18","0","0","14","0.8","0.13","0","14","0","0"
"3","15","19","0","0","14","0.4","0.13","0","14","0","0"
"3","15","20","0","0","13","0.4","0.13","0","13","0","0"
"3","15","21","0","0","12","0.6","0.13","0","12","0","0"
"3","15","22","0","0","12","0.7","0.13","0","12","0","0"
"3","15","23","0","0","11","0.8","0.13","0","11","0","0"
"3","16","0","0","0","11","0.9","0.13","0","11","0","0"
"3","16","1","0","0","11","1","0.13","0","11","0","0"
"3","16","2","0","0","10","1.5","0.13","0","10","0","0"
"3","16","3","0","0","10","1.9","0.13","0","10","0","0"
"3","16","4","0","0","10","2.2","0.13","0","10","0","0"
"3","16","5","0","0","10","2.5","0.13","0","10","0","0"
"3","16","6","261","31","12","3.1","0.13","64.233","13.133","374.128","321.235"
"3","16","7","32","112","14","3.4","0.13","119.918","16.276","1018.818","943.082"
"3","16","8","197","212","16","3","0.13","328.168","22.657","2818.846","2679.328"
"3","16","9","875","101","19","2.1","0.13","782.131","37.708","6411.528","6144.707"
"3","16","10","904","114","21","1.1","0.13","929.944","48.695","7229.276","6933.479"
"3","16","11","921","119","22","0.7","0.13","1012.282","55.429","7613.202","7303.8"
"3","16","12","920","119","23","1","0.13","1012.859","53.902","7666.646","7355.351"
"3","16","13","937","97","23","1.5","0.13","945.825","48.633","7354.769","7054.524"
"3","16","14","898","91","22","2.5","0.13","791.935","39.55","6444.234","6176.253"
