"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","16","15","825","82","21","3.4","0.13","581.227","32.082","4918.714","4704.789"
"3","16","16","637","74","18","3.3","0.13","319.652","24.127","2655.394","2521.668"
"3","16","17","282","35","15","2.2","0.13","74.357","16.58","457.037","401.206"
"3","16","18","0","0","14","1","0.13","0","14","0","0"
"3","16","19","0","0","14","0.5","0.13","0","14","0","0"
"3","16","20","0","0","13","0.9","0.13","0","13","0","0"
"3","16","21","0","0","13","1.1","0.13","0","13","0","0"
"3","16","22","0","0","12","1.2","0.13","0","12","0","0"
"3","16","23","0","0","11","1.2","0.13","0","11","0","0"
"3","17","0","0","0","11","1.4","0.13","0","11","0","0"
"3","17","1","0","0","10","1.5","0.13","0","10","0","0"
"3","17","2","0","0","10","1.8","0.13","0","10","0","0"
"3","17","3","0","0","10","2.2","0.13","0","10","0","0"
"3","17","4","0","0","10","2.7","0.13","0","10","0","0"
"3","17","5","0","0","10","3.3","0.13","0","10","0","0"
"3","17","6","326","32","12","4.1","0.13","73.629","13.113","430.239","375.358"
"3","17","7","155","120","14","5","0.13","175.73","16.657","1496.758","1404.086"
"3","17","8","311","200","17","5.3","0.13","388.208","22.681","3355.761","3197.218"
"3","17","9","909","102","19","4.8","0.13","807.069","31.571","6774.321","6494.644"
